t,x,y,z
14.5,46.0179,0.418237,2.93426
14.6,46.1983,0.517347,2.92081
14.7,46.3738,0.622667,2.90718
14.8,46.5443,0.734267,2.8934
14.9,46.7099,0.85221,2.87948
15,46.8705,0.976553,2.86547
15.1,47.0263,1.10735,2.85139
15.2,47.1773,1.24464,2.83727
15.3,47.3233,1.38846,2.82314
15.4,47.4645,1.53885,2.80902
15.5,47.6008,1.69583,2.79494
15.6,47.7323,1.85943,2.78093
15.7,47.8589,2.02965,2.76702
15.8,47.9807,2.20651,2.75322
15.9,48.0977,2.39002,2.73957
16,48.2098,2.58016,2.72609
16.1,48.317,2.77694,2.71281
16.2,48.4194,2.98034,2.69974
16.3,48.517,3.19034,2.68692
16.4,48.6097,3.40693,2.67437
16.5,48.6975,3.63007,2.6621
16.6,48.7804,3.85973,2.65015
16.7,48.8585,4.09588,2.63853
16.8,48.9317,4.33848,2.62727
16.9,48.9999,4.58748,2.61639
17,49.0633,4.84282,2.60591
17.1,49.1217,5.10447,2.59584
17.2,49.1752,5.37235,2.58622
17.3,49.2237,5.6464,2.57705
17.4,49.2672,5.92656,2.56837
17.5,49.3058,6.21276,2.56018
17.6,49.3394,6.50492,2.5525
17.7,49.368,6.80296,2.54536
17.8,49.3915,7.10681,2.53877
17.9,49.41,7.41637,2.53275
18,49.4234,7.73156,2.52731
18.1,49.4318,8.05229,2.52247
18.2,49.4351,8.37846,2.51825
18.3,49.4333,8.70996,2.51466
18.4,49.4263,9.04671,2.51171
18.5,49.4142,9.3886,2.50943
18.6,49.3969,9.73551,2.50781
18.7,49.3745,10.0873,2.50688
18.8,49.3469,10.444,2.50665
18.9,49.3141,10.8053,2.50713
19,49.276,11.1712,2.50833
19.1,49.2327,11.5416,2.51026
19.2,49.1842,11.9162,2.51294
19.3,49.1304,12.2951,2.51637
19.4,49.0713,12.6781,2.52056
19.5,49.007,13.065,2.52552
19.6,48.9373,13.4557,2.53127
19.7,48.8623,13.8502,2.5378
19.8,48.782,14.2482,2.54512
19.9,48.6963,14.6495,2.55325
20,48.6053,15.0542,2.56218
20.1,48.5089,15.4621,2.57193
20.2,48.4072,15.8729,2.5825
20.3,48.3001,16.2866,2.59389
20.4,48.1876,16.703,2.6061
20.5,48.0697,17.122,2.61915
20.6,47.9465,17.5434,2.63302
20.7,47.8178,17.9672,2.64774
20.8,47.6838,18.393,2.66329
20.9,47.5443,18.8209,2.67967
21,47.3995,19.2507,2.6969
21.1,47.2493,19.6821,2.71496
21.2,47.0937,20.1151,2.73386
21.3,46.9327,20.5495,2.75359
21.4,46.7664,20.9852,2.77416
21.5,46.5947,21.4221,2.79555
21.6,46.4176,21.8599,2.81778
21.7,46.2352,22.2985,2.84083
21.8,46.0475,22.7378,2.86469
21.9,45.8545,23.1776,2.88938
22,45.6562,23.6179,2.91486
22.1,45.4527,24.0584,2.94115
22.2,45.2438,24.499,2.96824
22.3,45.0298,24.9395,2.99611
22.4,44.8106,25.3799,3.02476
22.5,44.5862,25.8199,3.05418
22.6,44.3566,26.2595,3.08436
22.7,44.122,26.6985,3.11529
22.8,43.8823,27.1368,3.14696
22.9,43.6375,27.5741,3.17935
23,43.3878,28.0105,3.21246
23.1,43.1331,28.4457,3.24627
23.2,42.8735,28.8796,3.28077
23.3,42.609,29.3122,3.31594
23.4,42.3397,29.7431,3.35177
23.5,42.0657,30.1724,3.38825
23.6,41.7869,30.5999,3.42536
23.7,41.5034,31.0255,3.46309
23.8,41.2154,31.449,3.50141
23.9,40.9227,31.8703,3.54031
24,40.6256,32.2893,3.57977
24.1,40.324,32.7059,3.61978
24.2,40.0181,33.1199,3.66032
24.3,39.7078,33.5312,3.70136
24.4,39.3933,33.9397,3.7429
24.5,39.0746,34.3453,3.7849
24.6,38.7517,34.7479,3.82735
24.7,38.4248,35.1474,3.87023
24.8,38.0939,35.5435,3.91352
24.9,37.7591,35.9363,3.95719
25,37.4204,36.3256,4.00123
25.1,37.078,36.7113,4.04562
25.2,36.7318,37.0932,4.09032
25.3,36.3821,37.4714,4.13532
25.4,36.0288,37.8456,4.1806
25.5,35.672,38.2158,4.22613
25.6,35.3119,38.5818,4.27189
25.7,34.9484,38.9436,4.31786
25.8,34.5818,39.3011,4.36401
25.9,34.212,39.6541,4.41031
26,33.8391,40.0025,4.45675
26.1,33.4633,40.3464,4.5033
26.2,33.0845,40.6854,4.54993
26.3,32.703,41.0197,4.59662
26.4,32.3188,41.349,4.64335
26.5,31.9319,41.6733,4.69008
26.6,31.5425,41.9924,4.7368
26.7,31.1507,42.3064,4.78347
26.8,30.7565,42.6151,4.83008
26.9,30.3601,42.9184,4.87659
27,29.9615,43.2162,4.92298
27.1,29.5608,43.5085,4.96922
27.2,29.1581,43.7951,5.01529
