t,x,y,z
13.4,43.6861,-0.0161024,3.17691
13.5,43.9218,-0.0153394,3.15171
13.6,44.1535,-0.0138761,3.12428
13.7,44.3812,-0.0116088,3.09464
13.8,44.6051,-0.00842761,3.06281
13.9,44.8254,-0.00421612,3.02884
14,45.0422,0.0011484,2.99276
14.1,45.2557,0.00779512,2.95462
14.2,45.4659,0.0158597,2.91447
14.3,45.673,0.0254842,2.87235
14.4,45.8772,0.0368171,2.82832
14.5,46.0785,0.0500134,2.78245
14.6,46.277,0.0652343,2.7348
14.7,46.4728,0.0826474,2.68544
14.8,46.6659,0.102426,2.63444
14.9,46.8566,0.124751,2.58188
15,47.0447,0.149808,2.52784
15.1,47.2304,0.177787,2.47241
15.2,47.4137,0.208888,2.41567
15.3,47.5946,0.243312,2.35773
15.4,47.7731,0.281268,2.29867
15.5,47.9493,0.32297,2.23859
15.6,48.123,0.368637,2.17761
15.7,48.2944,0.418492,2.11582
15.8,48.4632,0.472763,2.05335
15.9,48.6296,0.531683,1.9903
16,48.7935,0.595489,1.9268
16.1,48.9547,0.664421,1.86295
16.2,49.1132,0.738725,1.7989
16.3,49.2689,0.818647,1.73476
16.4,49.4217,0.904439,1.67066
16.5,49.5714,0.996354,1.60673
16.6,49.718,1.09465,1.54311
16.7,49.8612,1.19959,1.47994
16.8,50.0011,1.31142,1.41735
16.9,50.1373,1.43042,1.35549
17,50.2696,1.55684,1.29449
17.1,50.3981,1.69096,1.23449
17.2,50.5223,1.83303,1.17566
17.3,50.6422,1.98333,1.11812
17.4,50.7574,2.14212,1.06204
17.5,50.8679,2.30966,1.00755
17.6,50.9733,2.48622,0.954807
17.7,51.0734,2.67207,0.903963
17.8,51.168,2.86747,0.855167
17.9,51.2568,3.07268,0.808571
18,51.3396,3.28796,0.764324
18.1,51.416,3.51356,0.722579
18.2,51.4859,3.74975,0.683486
18.3,51.5489,3.99677,0.647195
18.4,51.6047,4.25487,0.613856
18.5,51.6531,4.5243,0.583618
18.6,51.6937,4.80529,0.556629
18.7,51.7263,5.09808,0.533036
18.8,51.7506,5.40291,0.512984
18.9,51.7662,5.71998,0.496618
19,51.7729,6.04954,0.484079
19.1,51.7703,6.39179,0.475509
19.2,51.7581,6.74693,0.471045
19.3,51.7361,7.11517,0.470825
19.4,51.7039,7.4967,0.474981
19.5,51.6611,7.89172,0.483645
19.6,51.6076,8.30039,0.496945
19.7,51.5429,8.72289,0.515008
19.8,51.4668,9.15938,0.537955
19.9,51.379,9.61001,0.565905
20,51.2792,10.0749,0.598976
20.1,51.1671,10.5543,0.637278
20.2,51.0423,11.0482,0.680921
20.3,50.9046,11.5568,0.730009
20.4,50.7538,12.0801,0.784642
20.5,50.5895,12.6183,0.844917
20.6,50.4114,13.1715,0.910926
20.7,50.2194,13.7397,0.982757
20.8,50.0131,14.3229,1.06049
20.9,49.7923,14.9213,1.14421
21,49.5568,15.5349,1.23398
21.1,49.3063,16.1637,1.32988
21.2,49.0406,16.8078,1.43196
21.3,48.7595,17.467,1.54029
21.4,48.4628,18.1414,1.65492
21.5,48.1503,18.8311,1.77589
21.6,47.8219,19.5359,1.90324
21.7,47.4772,20.2558,2.03702
21.8,47.1163,20.9907,2.17724
21.9,46.7389,21.7406,2.32395
22,46.345,22.5054,2.47714
22.1,45.9343,23.2849,2.63684
22.2,45.5068,24.0791,2.80305
22.3,45.0624,24.8878,2.97577
